name,uses,action
pepper,147,create
black pepper,138,create
flour,84,create
parsley,64,create
all-purpose flour,57,create
paprika,54,create
cinnamon,49,create
baking powder,49,create
cumin,47,create
thyme,39,create
cayenne pepper,38,create
beef,34,create
frac,27,create
oregano,26,create
egg yolk,25,create
rosemary,23,create
worcestershire sauce,20,create
teaspoon black pepper,17,create
cup flour,17,create
teaspoon cayenne pepper,17,create
tsp black pepper,16,create
clove,16,create
teaspoon cinnamon,16,create
egg white,15,create
crayfish,15,create
wheat flour,15,create
turmeric,15,create
dijon mustard,15,create
chili powder,15,create
mayonnaise,15,create
smoked paprika,14,create
shallot,14,create
cup all-purpose flour,14,create
basil,14,create
curry powder,14,create
stalk celery,14,create
cornmeal,14,create
cup mayonnaise,13,create
heavy cream,13,create
cornstarch,13,create
bacon,13,create
mint,11,create
palm oil,11,create
sour cream,11,create
ketchup,11,create
standard egg,11,create
teaspoon cumin,10,create
chickpea,10,create
chile,10,create
margarine,10,create
cream,10,create
meat,9,create
cup oil,9,create
stock cube,9,create
cocoa powder,9,create
teaspoon baking powder,9,create
ice cube,9,create
pork,9,create
chocolate chip,9,create
scallion,9,create
cup parsley,9,create
teaspoon turmeric,9,create
red chile powder,8,create
cup margarine,8,create
cup molasses,8,create
tsp - black pepper,8,create
chile powder,8,create
canola oil,8,create
hamburger bun,8,create
cup heavy cream,8,create
vegetable broth,8,create
lettuce,8,create
celery,8,create
cup sour cream,7,create
rolled oat,7,create
celery stalk,7,create
berbere spice blend,7,create
beef broth,7,create
white pepper,7,create
barbecue rub,7,create
seasoning cube,7,create
teaspoon pepper,7,create
nut,7,create
shrimp,7,create
tsp pepper,7,create
red,7,create
red wine,7,create
molasses,7,create
hard egg,6,create
habanero pepper,6,create
white,6,create
golden syrup,6,create
vegetable,6,create
whipped cream,6,create
self-raising flour,6,create
cup cream,6,create
basil leaf,6,create
teaspoon clove,6,create
cup celery,6,create
cup worcestershire sauce,6,create
tsp cayenne pepper,6,create
teaspoon paprika,6,create
dark rum,6,create
dry mustard,6,create
okra,6,create
beef stock,6,create
mustard,6,create
peache,6,create
cooking oil,6,create
red pepper,6,create
flat-leaf parsley,5,create
cup palm oil,5,create
italian seasoning,5,create
bouquet garni,5,create
instant yeast,5,create
tsp baking powder,5,create
caper,5,create
tsp cinnamon,5,create
red pepper flake,5,create
ham,5,create
marjoram,5,create
ice,5,create
lard,5,create
ea egg,5,create
breadcrumb,5,create
maraschino cherry,5,create
lean beef,5,create
teaspoon thyme,5,create
strip bacon,5,create
parmesan,5,create
peppercorn,5,create
sauce,5,create
chive,5,create
strawberry,5,create
green chile,5,create
mg caffeine,5,create
cup shortening,5,create
plantain,5,create
tsp cream of tartar,4,create
tabasco sauce,4,create
bicarbonate of soda,4,create
chile pepper,4,create
tsp oregano,4,create
cup,4,create
sweet paprika,4,create
apricot,4,create
parsnip,4,create
ice cream,4,create
beer,4,create
slab pork sparerib,4,create
dry white wine,4,create
leek,4,create
cup nut,4,create
all-purpose bleached flour,4,create
hoisin sauce,4,create
prepared mustard,4,create
chuck,4,create
green chile pepper,4,create
vegetable stock,4,create
white wine,4,create
hard- egg,4,create
strip of bacon,4,create
brandy,4,create
fat,4,create
cooking spray,4,create
red chillis,4,create
cup maple syrup,4,create
allspice,4,create
tarragon,4,create
pasta,4,create
teaspoon oregano,4,create
semisweet chocolate,4,create
nigella seed,4,create
dog,4,create
cup mint,4,create
cup ketchup,3,create
black olive,3,create
cup dry white wine,3,create
cup blackstrap molasses,3,create
red chile flake,3,create
broth,3,create
olive,3,create
cornbread,3,create
curry paste,3,create
teaspoon allspice,3,create
powdered cinnamon,3,create
beef bouillon cube,3,create
spice,3,create
mixed herb,3,create
cup breadcrumb,3,create
hickory chunk,3,create
avocados,3,create
caraway seed,3,create
cup cooking oil,3,create
coffee liqueur,3,create
green pepper,3,create
teaspoon red pepper,3,create
prime rib seasoning,3,create
beet,3,create
stalk of celery,3,create
beef stock cube,3,create
chile flake,3,create
stew beef,3,create
red chile pepper,3,create
yeast,3,create
cajun seasoning,3,create
seasoning,3,create
crumbled cornbread,3,create
cinnamon powder,3,create
cocoyam,3,create
stick margarine,3,create
shortening,3,create
raspberry,3,create
pine nut,3,create
poultry shake,3,create
self-rising flour,3,create
veal,3,create
cocoa,3,create
crab,3,create
bittersweet chocolate,3,create
herb,3,create
stock,3,create
juniper berry,3,create
oyster sauce,3,create
montreal steak seasoning,3,create
red chile,3,create
cup white wine,3,create
dill,3,create
spaghetti,3,create
chickpea flour,3,create
semisweet chocolate chip,3,create
beef chuck,3,create
green chili,3,create
suet,3,create
tsp - cumin,3,create
jalape o pepper,3,create
niter kibbeh,3,create
saffron,3,create
fig,2,skip
sweetener,2,skip
cup of single cream,2,skip
sweet sherry,2,skip
smoke- catfish,2,skip
maggi cube,2,skip
cassava,2,skip
utazi leaf,2,skip
garden egg,2,skip
teaspoon - black pepper,2,skip
teaspoon celery seed,2,skip
riesling wine,2,skip
dash pepper,2,skip
ea standard egg,2,skip
semolina,2,skip
can,2,skip
panko,2,skip
tsp allspice,2,skip
smoked ham,2,skip
cup rolled oat,2,skip
white all-purpose flour,2,skip
slab st louis style cut pork sparerib,2,skip
mirin,2,skip
cup chop rub,2,skip
thick-cut bone-in pork rib chop,2,skip
grill seasoning,2,skip
pork loin roast,2,skip
ea duck breast,2,skip
chili,2,skip
mixed vegetable,2,skip
leaf gelatine,2,skip
beef consomm,2,skip
tahini,2,skip
pound bacon,2,skip
asparagus,2,skip
salad,2,skip
sheet puff pastry,2,skip
assorted meat,2,skip
periwinkle,2,skip
double cream,2,skip
whipping cream,2,skip
mozzarella,2,skip
tilapia,2,skip
leaf basil,2,skip
instant coffee powder,2,skip
pecan,2,skip
phyllo dough,2,skip
pork stock,2,skip
paprika powder,2,skip
fruit,2,skip
tsp turmeric,2,skip
mesquite chunk,2,skip
barbecue sauce,2,skip
sirloin,2,skip
cup barbecue sauce,2,skip
tabasco,2,skip
smoked catfish,2,skip
panch puran,2,skip
of beer,2,skip
oat flake,2,skip
semolina flour,2,skip
savory,2,skip
basil chiffonade,2,skip
cup scallion,2,skip
pound beef,2,skip
beef suitable,2,skip
baguette,2,skip
sausage,2,skip
cream of tartar,2,skip
blueberry,2,skip
cup blueberry,2,skip
blackberry,2,skip
bison meat,2,skip
top sirloin steak,2,skip
fennel bulb,2,skip
pork belly,2,skip
cup bourbon,2,skip
lbs collard green,2,skip
bag semi-sweet chocolate chip,2,skip
cup pecan,2,skip
unsweetened chocolate,2,skip
cup smoky chipotle sauce,2,skip
head romaine lettuce,2,skip
rapeseed oil,2,skip
topping,2,skip
stick cinnamon,2,skip
xanthan gum,2,skip
collard green,2,skip
active dry yeast,2,skip
oyster,2,skip
yellow,2,skip
chinese five-spice powder,2,skip
heavy whipping cream,2,skip
sage,2,skip
yellow cake mix,2,skip
ricotta,2,skip
steak rub,2,skip
cup cranberry,2,skip
cup dark rum,2,skip
watermelon,2,skip
cream of celery soup,2,skip
teaspoon dry mustard,2,skip
white flour,2,skip
pepper sauce,2,skip
lb bacon,2,skip
parsley flake,2,skip
chilli powder,2,skip
jalape os,2,skip
cup self-raising flour,2,skip
single cream,2,skip
bottle ketchup,2,skip
chipotle bbq rub,2,skip
chipotle in adobo sauce,2,skip
cup adobo sauce,2,skip
chipotle chile in adobo,2,skip
tortilla chip,2,skip
gram flour,2,skip
neutral oil,2,skip
turnip,2,skip
pear,2,skip
cup cocoa,2,skip
chocolate,2,skip
leaf of lettuce,2,skip
avocado,2,skip
dark chocolate,2,skip
mussel,2,skip
scallop,2,skip
habanero chile,2,skip
peach,2,skip
cup red wine,2,skip
jalape o,2,skip
cup unsweetened cocoa powder,2,skip
tsp fenugreek seed,2,skip
cup madeira,2,skip
beef stew meat,2,skip
tsp powdered cinnamon,2,skip
proof unflavored spirit,2,skip
drop cinnamon oil,2,skip
crab meat,2,skip
cup italian dressing,2,skip
fine breadcrumb,2,skip
toast,2,skip
mixed spice,2,skip
flavoring,2,skip
dill pickle,2,skip
panko breadcrumb,2,skip
fenugreek seed,2,skip
